index,SMILES
6754,CNCCOC(=O)NCn1cc(-c2ccccc2)nn1
6760,Oc1ccc2ccc(Nc3ncccn3)cc2c1
6769,CC(C)=CCC[C@@H](C)CCN(c1ccc([N+](=O)[O-])cc1)c1ccccn1
6790,O=[N+]([O-])c1ccc(Nc2nc3ccccc3s2)cc1
6793,CCN(CC)c1ccc(CNc2ccc([N+](=O)[O-])cc2)cn1
6817,O=[N+]([O-])c1ccc(N(c2ccccc2CO)S(=O)(=O)C(F)(F)F)cc1
6820,CCCCNS(=O)(=O)Nc1ccc(CNc2ccc([N+](=O)[O-])cc2)cn1
6853,O=[N+]([O-])c1ccc2nc(N(CCNCC3CCCCC3)c3cc4ccccc4o3)sc2c1
6859,CS(=O)(=O)N(c1cnc2ccccc2c1)S(=O)(=O)NS(=O)(=O)C(F)(F)F
6871,c1ccc2oc(NNc3ccsc3)cc2c1
6883,COc1ccc2nc(NCc3ccc(-c4ccsc4)s3)sc2c1
6895,Clc1ncccc1NCc1ccc(-c2cc3ccccc3o2)s1
6901,N#Cc1ccccc1NCc1ccc(-c2cc3ccccc3o2)s1
6925,CN(C)c1ccc(CNCc2ccc(C#N)cc2)cc1[N+](=O)[O-]
6928,c1ccc2oc(Nc3ccc4cn[nH]c4c3)cc2c1
6949,N#Cc1ccc(CNCc2cnc3ccccc3n2)cc1
7009,S=c1[nH]nc(-c2ccncc2)n1Nc1cccnc1Cl
7030,Clc1ccc(CNc2cc3ccccc3o2)cn1
7042,CC(C)(C)Nc1cc2ccccc2o1
7081,C[C@H](Nc1cc2ccccc2o1)c1ccccc1
7084,Clc1ccc(CNc2ccsc2)cn1
7099,Nc1ccc(Nc2cc3ccccc3o2)cc1
7108,c1ccc2oc(Nc3n[nH]c4ccccc34)cc2c1
7126,O=C(Nc1cc(F)c(F)cc1F)Nc1ncccc1Nc1cccnc1Cl
7138,N=C(Nc1cc2ccccc2o1)n1cccn1
7144,NC1CCCCC1Nc1cc2ccccc2o1
7153,COc1nccc(Nc2ccsc2)n1
7192,c1ccc2oc(-c3ccc(CNc4ncn[nH]4)s3)cc2c1
7195,COc1ccc2nc(Nc3cc4ccccc4o3)sc2c1
7213,O=C(Nc1ccno1)OCCNc1ccsc1
7240,COCCNC12CC3CC(CC(C3)C1)C2
7243,COCCOC(=O)Nc1ccc2ccccc2n1
7252,N#Cc1cc2ccccc2nc1NS(=O)(=O)C(F)(F)F
7267,O=S(=O)(Nc1nc2ccc(-c3cc4ccccc4o3)cc2s1)c1cccc(Br)c1
7309,c1ccc2nc(-c3ccsc3)ccc2c1
7330,COc1ccc2nc(N(c3cccnc3)c3cc4ccccc4o3)sc2c1
7333,N#CN=C(NC(=O)Nc1sc2ccccc2c1Cl)Nc1cc2ccccc2o1
7357,O=[N+]([O-])c1ccc2nc(Nc3cc4ccccc4o3)sc2c1
7363,c1ccc2ncc(Nc3ccc(-c4ccsc4)cn3)cc2c1
7390,N#Cc1ccc(Br)cc1Nc1cccnc1-c1ccsc1
7423,N#CN=C(Nc1ccc(O)cc1)Nc1ccsc1
7429,O=S(=O)(O)c1ccc(NCc2ccc(-c3ccsc3)s2)cc1
7453,CC(C)(C)Nc1sccc1C#N
7474,CC(C)(C)NCCc1ccc(O)cc1
7495,CC(C)(C)Nc1cncc(Cl)n1
7501,N#Cc1ccc(N(C(=O)Oc2ccccc2)C(=S)C(N)=S)cc1
7507,CC(C)(C)NC12CC3CC(CC(C3)C1)C2
7549,CCN(CC)c1ccccc1Nc1nc2ccc(OC)cc2s1
7576,c1ccc(CNc2cc3ccccc3o2)cc1
7594,Oc1ccc(CCNC2CCN(c3ccccc3Cl)C2)cc1
7642,CC(C)(C)N(c1nc(N)c2nc[nH]c2n1)c1ncccc1-c1ccc(C#N)cc1
7681,Cc1nnc(N(C(=O)OC(C)(C)C)c2ccccc2Cl)s1
7714,S=c1[nH]nc(-c2ccncc2)n1Nc1ccccc1Cl
7792,Cc1cc(Nc2cccc(OC(F)(F)F)c2)nc(Cl)c1N
7798,c1ccc(CCCNc2nc3ccc(-c4ccccc4)cc3s2)cc1
7801,O=S(=O)(Nc1nc2ccc(-c3ccccc3)cc2s1)C(F)(F)F
7816,OB(O)c1ccc(Nc2cccc(OC(F)(F)F)c2)cc1
7828,Clc1ccc(-c2ccc3ccccc3n2)cn1
7834,O=[N+]([O-])c1cc(Br)cc(CNc2ncc(Cl)cc2NS(=O)(=O)C(F)(F)F)c1
7840,CC(C)(C)OC(=O)N(CCCN)S(=O)(=O)C(F)(F)F
7846,Cc1nnc(NS(=O)(=O)C(F)(F)F)s1
7888,O=C(Nc1ccncc1Nn1cnnc1)Oc1ccccc1
7891,CS(=O)(=O)Nc1ccc(Nn2cnnc2)cc1
7900,Nc1ccncc1Nn1cnnc1
7906,COc1ncc(Nn2cnnc2)cn1
7909,Cc1noc(C)c1N(C#N)c1cc2ccccc2o1
7915,O=[N+]([O-])c1cccc(N2CCS(=O)(=O)CC2)c1
7918,Clc1ccccc1Nn1cnnc1
7930,O=S(=O)(Nn1cnnc1)C(F)(F)F
7939,c1csc(CNn2cnnc2)c1
7942,c1ccc2sc(Nn3cnnc3)nc2c1
7945,Fc1cccc(Nn2cnnc2)c1CBr
7951,N#CNS(=O)(=O)c1ccccc1
7954,O=[N+]([O-])c1ccc(N2CCS(=O)(=O)CC2)nc1
7957,O=[N+]([O-])c1ccc(Nn2cnnc2)nc1
7960,COc1ccc(NC(=O)Nc2ccncc2Nn2cnnc2)cc1
7963,c1ccc2ncc(Nn3cnnc3)cc2c1
7966,CC(C)(C)OC(=O)Nn1cnnc1
7972,Clc1cccc(Nn2cnnc2)c1Nc1cnc2ccccc2c1
7984,N#CNS(=O)(=O)c1cccc(Br)c1
7987,CCn1c2ccccc2c2cc(CNc3ccncc3Nn3cnnc3)ccc21
7999,Cc1ccc(N2CCS(=O)(=O)CC2)cc1
8008,N#CNCc1cccc2c1sc1ccccc12
8017,c1ccc(C(Nn2cnnc2)c2ccccc2)cc1
8026,Nc1nc(Nn2cnnc2)c2[nH]cnc2n1
8044,COc1ccc(N(c2nc3ccccc3s2)n2cnnc2)c(OC)c1
8059,CCCCCN(c1cnc2ccccc2c1)n1cnnc1
8062,COc1cc(C)ccc1N1CCS(=O)(=O)CC1
